"entrezgene","mgi_symbol","gene_biotype","ensembl_gene_id","description","featureCounts_WT.1","featureCounts_WT.2","featureCounts_WT.3","featureCounts_p53null.1","featureCounts_p53null.2","featureCounts_p53null.3","Base_Mean","log2(FC)","StdErr","Wald-Stats","P-value","P-adj"
67038,"2010109I03Rik","protein_coding","ENSMUSG00000063522","RIKEN cDNA 2010109I03 gene [Source:MGI Symbol;Acc:MGI:1914288]",1131.77017,1560.524209,1599.330889,12.28262354,25.4867463,61.0181498,731.7354647,-4.784743424,0.328496738,-14.56557361,4.65e-48,3.32e-45
20257,"Stmn2","protein_coding","ENSMUSG00000027500","stathmin-like 2 [Source:MGI Symbol;Acc:MGI:98241]",518.2138937,725.2811167,548.3102421,4622.045719,6245.951959,3535.75441,2699.259557,2.884814521,0.203005865,14.21049841,7.89e-46,5.4e-43
665928,NA,NA,NA,NA,66.17883058,150.9052646,68.95585195,1555.169103,1640.496903,1471.032152,825.4563509,3.737775286,0.26538248,14.08448396,4.73e-45,3.11e-42
15586,"Hyal1","protein_coding","ENSMUSG00000010051","hyaluronoglucosaminidase 1 [Source:MGI Symbol;Acc:MGI:96298]",3776.680044,4587.987967,4627.827419,951.4309155,1097.629207,1038.957686,2680.08554,-2.030954103,0.144409201,-14.06388298,6.33e-45,4e-42
13036,"Ctsh","protein_coding","ENSMUSG00000032359","cathepsin H [Source:MGI Symbol;Acc:MGI:107285]",7552.238412,8512.694655,7710.821316,2536.834169,2558.869328,2428.357448,5216.635888,-1.638286172,0.116605461,-14.04982376,7.72e-45,4.7e-42
231287,"Atp10d","polymorphic_pseudogene","ENSMUSG00000046808","ATPase, class V, type 10D [Source:MGI Symbol;Acc:MGI:2450125]",1260.762806,990.82759,1382.453612,5364.672034,5327.579534,6218.903862,3424.199906,2.166861936,0.154489047,14.02599069,1.08e-44,6.34e-42
83490,"Pik3ap1","protein_coding","ENSMUSG00000025017","phosphoinositide-3-kinase adaptor protein 1 [Source:MGI Symbol;Acc:MGI:1933177]",5.608375473,11.69808253,11.1219116,540.4354356,485.9472961,424.6533398,246.5774068,4.854593182,0.346818987,13.99748389,1.61e-44,9.15e-42
232431,"Gprc5a","protein_coding","ENSMUSG00000046733","G protein-coupled receptor, family C, group 5, member A [Source:MGI Symbol;Acc:MGI:1891250]",11883.02595,13560.41727,13031.54383,4055.155401,3879.932345,4424.64043,8472.452537,-1.616854606,0.11666226,-13.85927723,1.12e-43,6.12e-41
23853,"Def6","protein_coding","ENSMUSG00000002257","differentially expressed in FDCP 6 [Source:MGI Symbol;Acc:MGI:1346328]",5894.402622,7268.018674,6569.713185,1829.16609,1451.045422,1649.139184,4110.247529,-1.962448601,0.141765127,-13.8429573,1.4e-43,7.44e-41
214531,"Tmprss13","protein_coding","ENSMUSG00000037129","transmembrane protease, serine 13 [Source:MGI Symbol;Acc:MGI:2682935]",2400.384702,2910.482933,2541.356802,239.0387504,282.0533257,430.425327,1467.290307,-2.910065515,0.210285492,-13.83864138,1.49e-43,7.65e-41
19011,"Endou","protein_coding","ENSMUSG00000022468","endonuclease, polyU-specific [Source:MGI Symbol;Acc:MGI:97746]",2591.069469,2939.728139,2813.843636,660.4272194,708.531547,631.6203074,1724.203386,-2.017936121,0.146077474,-13.81414988,2.09e-43,1.04e-40
75690,"Vsig10l","protein_coding","ENSMUSG00000070604","V-set and immunoglobulin domain containing 10 like [Source:MGI Symbol;Acc:MGI:1922940]",8328.437578,8269.374538,9459.18582,1119.608376,1000.779571,1822.298798,4999.947447,-2.626772003,0.190810786,-13.76637068,4.06e-43,1.96e-40
12450,"Ccng1","protein_coding","ENSMUSG00000020326","cyclin G1 [Source:MGI Symbol;Acc:MGI:102890]",33292.43848,27672.98403,25902.93213,4848.801845,5504.287642,7638.812699,17476.70947,-2.211845444,0.164258891,-13.46560559,2.49e-41,1.17e-38
214597,"Sidt2","protein_coding","ENSMUSG00000034908","SID1 transmembrane family, member 2 [Source:MGI Symbol;Acc:MGI:2446134]",23067.24832,24934.46291,26006.36591,9091.975869,8652.750368,7808.674035,16593.57957,-1.515458444,0.112994163,-13.41182948,5.16e-41,2.35e-38
71889,"Epn3","protein_coding","ENSMUSG00000010080","epsin 3 [Source:MGI Symbol;Acc:MGI:1919139]",14091.60421,14449.47154,15267.04806,3230.32999,3110.232606,4458.447783,9101.189032,-1.977675625,0.147543474,-13.40401967,5.73e-41,2.54e-38
12955,"Cryab","protein_coding","ENSMUSG00000032060","crystallin, alpha B [Source:MGI Symbol;Acc:MGI:88516]",6460.848545,7156.88689,8189.063515,1913.25482,1772.178426,2143.056369,4605.881427,-1.867870792,0.139382578,-13.40103494,5.96e-41,2.58e-38
19245,"Ptp4a3","protein_coding","ENSMUSG00000059895","protein tyrosine phosphatase 4a3 [Source:MGI Symbol;Acc:MGI:1277098]",4431.738299,5109.722448,4773.524461,1084.65014,1328.70904,980.4132447,2951.459605,-2.030344967,0.151600424,-13.3927394,6.67e-41,2.81e-38
386463,"Cdsn","protein_coding","ENSMUSG00000039518","corneodesmosin [Source:MGI Symbol;Acc:MGI:3505689]",23536.10851,25927.63011,27305.40518,3458.975751,5298.694555,6124.902928,15275.28617,-2.29777258,0.172941234,-13.2864357,2.77e-40,1.14e-37
27280,"Phlda3","protein_coding","ENSMUSG00000041801","pleckstrin homology like domain, family A, member 3 [Source:MGI Symbol;Acc:MGI:1351485]",13946.90813,14941.96081,15199.2044,5525.290957,4790.658746,5189.016442,9932.173247,-1.489397682,0.112650453,-13.22140869,6.6e-40,2.65e-37
13849,"Ephx1","protein_coding","ENSMUSG00000038776","epoxide hydrolase 1, microsomal [Source:MGI Symbol;Acc:MGI:95405]",15162.80393,15806.44911,17775.03913,3081.048873,1795.966056,3393.92844,9502.539256,-2.470921903,0.187545061,-13.17508383,1.22e-39,4.78e-37
67182,"Pdzk1ip1","protein_coding","ENSMUSG00000028716","PDZK1 interacting protein 1 [Source:MGI Symbol;Acc:MGI:1914432]",2696.506927,2644.936459,2467.952185,443.1192645,437.5224781,614.3043459,1550.72361,-2.312592537,0.175734334,-13.15959425,1.5e-39,5.73e-37
353211,"Prune2","protein_coding","ENSMUSG00000039126","prune homolog 2 [Source:MGI Symbol;Acc:MGI:1925004]",4058.220492,4375.082865,4077.292794,562.1662311,683.894359,957.3252962,2452.33034,-2.421481051,0.184136619,-13.15045899,1.69e-39,6.32e-37
74122,"Tmem43","protein_coding","ENSMUSG00000030095","transmembrane protein 43 [Source:MGI Symbol;Acc:MGI:1921372]",16653.51013,16282.56107,17776.15132,6663.795677,6085.385457,6188.394787,11608.29974,-1.405461695,0.107397797,-13.08650398,3.93e-39,1.44e-36
15446,"Hpgd","protein_coding","ENSMUSG00000031613","hydroxyprostaglandin dehydrogenase 15 (NAD) [Source:MGI Symbol;Acc:MGI:108085]",1997.703344,1856.485697,1547.057904,218.2527721,232.7789495,324.8804192,1029.526514,-2.681814856,0.205083733,-13.07668244,4.48e-39,1.6e-36
20765,"Sprr2k","protein_coding","ENSMUSG00000054215","small proline-rich protein 2K [Source:MGI Symbol;Acc:MGI:1330344]",4464.266877,3839.310685,4036.141721,1129.056548,1068.744228,1245.924653,2630.574119,-1.807218265,0.138346882,-13.06294897,5.36e-39,1.87e-36
12227,"Btg2","protein_coding","ENSMUSG00000020423","B cell translocation gene 2, anti-proliferative [Source:MGI Symbol;Acc:MGI:108384]",5670.067603,5893.493977,4954.81162,1638.313016,1744.992563,1710.157334,3601.972686,-1.670293734,0.128516111,-12.99676536,1.28e-38,4.37e-36
16008,"Igfbp2","protein_coding","ENSMUSG00000039323","insulin-like growth factor binding protein 2 [Source:MGI Symbol;Acc:MGI:96437]",30505.07587,40429.74302,31323.75184,5317.431174,8136.218976,8120.361341,20638.7637,-2.183075534,0.168071288,-12.98898559,1.41e-38,4.74e-36
22228,"Ucp2","protein_coding","ENSMUSG00000033685","uncoupling protein 2 (mitochondrial, proton carrier) [Source:MGI Symbol;Acc:MGI:109354]",1440.230821,1940.711891,1484.775199,7591.606163,7188.112014,5917.935961,4260.562008,2.03886347,0.157111059,12.97721169,1.65e-38,5.42e-36
624784,NA,NA,NA,NA,393.7079582,286.6030219,517.1688896,3321.032441,2928.427149,2410.216917,1642.859396,2.728480253,0.210392272,12.96853834,1.85e-38,5.95e-36
381651,"Odaph","protein_coding","ENSMUSG00000096035","odontogenesis associated phosphoprotein [Source:MGI Symbol;Acc:MGI:2685891]",22.43350189,54.98098788,27.80477901,1312.351084,1829.948384,584.6198406,638.6897629,4.458916208,0.344767287,12.9331186,2.93e-38,9.25e-36
100503499,NA,NA,NA,NA,4031.30029,4142.291023,3587.928684,630.1930691,875.8945144,948.2550306,2369.310435,-2.195656206,0.170946928,-12.8440811,9.28e-38,2.88e-35
216049,"Zfp365","protein_coding","ENSMUSG00000037855","zinc finger protein 365 [Source:MGI Symbol;Acc:MGI:2143676]",2420.574854,2282.295901,2396.771951,428.0021894,321.1330033,512.8822861,1393.610031,-2.405479825,0.188002646,-12.79492536,1.75e-37,5.23e-35
320040,"Rnf222","protein_coding","ENSMUSG00000046490","ring finger protein 222 [Source:MGI Symbol;Acc:MGI:2443227]",1870.954058,2616.861061,2505.766685,160.6189232,147.8231285,319.9330016,1270.326143,-3.2474975,0.253798077,-12.79559538,1.74e-37,5.23e-35
216810,"Tom1l2","protein_coding","ENSMUSG00000000538","target of myb1-like 2 (chicken) [Source:MGI Symbol;Acc:MGI:2443306]",8341.897679,7917.262254,8595.013288,2552.896061,2434.83383,2985.766492,5471.278267,-1.614937088,0.126400783,-12.77632187,2.22e-37,6.52e-35
16687,"Krt6a","protein_coding","ENSMUSG00000058354","keratin 6A [Source:MGI Symbol;Acc:MGI:1100845]",624224.5286,682791.3413,633401.7634,227491.1946,205141.1218,256918.5689,438328.0864,-1.473596158,0.115384066,-12.77122752,2.37e-37,6.84e-35
12837,"Col8a1","protein_coding","ENSMUSG00000068196","collagen, type VIII, alpha 1 [Source:MGI Symbol;Acc:MGI:88463]",641.5981541,457.3950268,559.4321537,5157.757068,6413.314926,2853.010788,2680.41802,2.952953965,0.231458567,12.75802406,2.81e-37,7.97e-35
76400,"Pbp2","protein_coding","ENSMUSG00000047104","phosphatidylethanolamine binding protein 2 [Source:MGI Symbol;Acc:MGI:1923650]",208.6315676,382.5272986,281.3843636,0.944817195,0,0.824569592,145.7187694,-5.608974355,0.439763093,-12.75453635,2.94e-37,8.19e-35
69539,"Trnp1","protein_coding","ENSMUSG00000056596","TMF1-regulated nuclear protein 1 [Source:MGI Symbol;Acc:MGI:1916789]",1995.459993,2885.916959,2705.961093,160.6189232,299.8940481,342.1963806,1398.341233,-3.050431515,0.240445229,-12.68659612,7.02e-37,1.92e-34
12981,"Csf2","protein_coding","ENSMUSG00000018916","colony stimulating factor 2 (granulocyte-macrophage) [Source:MGI Symbol;Acc:MGI:1339752]",7.851725662,4.679233011,13.34629393,873.0110883,750.1598993,279.5290916,321.4295553,4.969888104,0.391938004,12.68029142,7.6e-37,2.05e-34
74175,"Crct1","protein_coding","ENSMUSG00000027913","cysteine-rich C-terminal 1 [Source:MGI Symbol;Acc:MGI:1921425]",2329.719172,2303.35245,2095.368146,259.8247287,154.6195942,344.6700894,1247.925697,-2.973680719,0.234607748,-12.67511729,8.12e-37,2.15e-34
229927,"Clca3b","protein_coding","ENSMUSG00000037033","chloride channel accessory 3B [Source:MGI Symbol;Acc:MGI:2181989]",29.16355246,9.358466021,20.01944089,4140.188949,3280.993807,1644.191766,1520.652664,5.427583978,0.429745124,12.62977444,1.45e-36,3.77e-34
56277,"Tmem45a","protein_coding","ENSMUSG00000022754","transmembrane protein 45a [Source:MGI Symbol;Acc:MGI:1913122]",2690.898552,2313.880724,2025.300103,392.099136,440.0711527,531.8473868,1399.016176,-2.287838783,0.182578233,-12.53073134,5.07e-36,1.3e-33
19249,"Ptpn13","protein_coding","ENSMUSG00000034573","protein tyrosine phosphatase, non-receptor type 13 [Source:MGI Symbol;Acc:MGI:103293]",14415.76832,12326.26956,12779.07643,36221.45681,37575.95962,33124.60964,24407.19006,1.418200338,0.113283402,12.51904789,5.87e-36,1.48e-33
114249,"Npnt","protein_coding","ENSMUSG00000040998","nephronectin [Source:MGI Symbol;Acc:MGI:2148811]",98.70740833,121.6600583,116.7800718,838.0528521,1102.726556,864.9735019,523.8167415,2.8910283,0.232500397,12.4345091,1.7e-35,4.23e-33
217830,"Dglucy","protein_coding","ENSMUSG00000021185","D-glutamate cyclase [Source:MGI Symbol;Acc:MGI:2444813]",4626.909765,3725.839285,4789.095137,740.736681,352.5666571,675.3224957,2485.078337,-2.752448414,0.221537586,-12.42429542,1.93e-35,4.73e-33
11837,"Rplp0","protein_coding","ENSMUSG00000067274","ribosomal protein, large, P0 [Source:MGI Symbol;Acc:MGI:1927636]",198317.7651,218430.1064,211377.491,80238.6003,60350.91611,71709.51913,140070.733,-1.541795809,0.124164329,-12.41738124,2.1e-35,5.08e-33
76942,"Lypd5","protein_coding","ENSMUSG00000030484","Ly6/Plaur domain containing 5 [Source:MGI Symbol;Acc:MGI:1924192]",1022.967686,1075.053784,1205.615218,86.92318195,137.62843,150.8962353,613.180756,-2.95516181,0.238505269,-12.39034183,2.95e-35,7.02e-33
18094,"Nkx2-9","protein_coding","ENSMUSG00000058669","NK2 homeobox 9 [Source:MGI Symbol;Acc:MGI:1270158]",228.8217193,325.2066942,202.4187912,0,0,0,126.0745341,-5.609798977,0.454326663,-12.34750111,5.02e-35,1.18e-32
67880,"Dcxr","protein_coding","ENSMUSG00000039450","dicarbonyl L-xylulose reductase [Source:MGI Symbol;Acc:MGI:1915130]",2545.08079,2429.691741,2476.849714,605.6278221,382.3011944,470.829237,1485.063416,-2.274949561,0.184797798,-12.31047977,7.95e-35,1.84e-32
12163,"Bmp8a","protein_coding","ENSMUSG00000032726","bone morphogenetic protein 8a [Source:MGI Symbol;Acc:MGI:104515]",579.9060239,848.1109832,627.2758145,39.6823222,58.61951648,57.71987143,368.552422,-3.417124777,0.278213165,-12.28239782,1.13e-34,2.57e-32
68628,"Fbxw9","protein_coding","ENSMUSG00000008167","F-box and WD-40 domain protein 9 [Source:MGI Symbol;Acc:MGI:1915878]",3490.652894,4113.045816,3561.236096,1057.250441,1072.992019,860.0260843,2359.200559,-1.858691552,0.151366646,-12.27939973,1.17e-34,2.63e-32
98845,"Eps8l2","protein_coding","ENSMUSG00000025504","EPS8-like 2 [Source:MGI Symbol;Acc:MGI:2138828]",27083.96683,31770.82233,29021.51614,6296.261788,5937.562329,9339.075197,18241.5341,-1.974738422,0.161733682,-12.20981551,2.76e-34,6.12e-32
14281,"Fos","protein_coding","ENSMUSG00000021250","FBJ osteosarcoma oncogene [Source:MGI Symbol;Acc:MGI:95574]",1617.455486,1566.37325,1677.18427,270.2177178,200.4957375,325.7049888,942.9052418,-2.50110283,0.204958458,-12.20297446,3e-34,6.57e-32
20196,"S100a13","protein_coding","ENSMUSG00000042312","S100 calcium binding protein A13 [Source:MGI Symbol;Acc:MGI:109581]",2385.802926,3228.670777,2620.322374,667.985757,615.080144,686.86647,1700.788075,-2.008765584,0.165213279,-12.15862068,5.16e-34,1.12e-31
266815,"Mill1","protein_coding","ENSMUSG00000054005","MHC I like leukocyte 1 [Source:MGI Symbol;Acc:MGI:2179988]",60.57045511,64.3394539,28.91697017,666.0961226,1043.257482,776.7445555,439.9875065,3.634526107,0.2990038,12.15545122,5.37e-34,1.15e-31
70466,"Ckap2l","protein_coding","ENSMUSG00000048327","cytoskeleton associated protein 2-like [Source:MGI Symbol;Acc:MGI:1917716]",1682.512642,1779.278352,1587.096786,5304.203733,4745.63216,5758.79403,3476.252951,1.61853879,0.133416676,12.1314579,7.2e-34,1.52e-31
20666,"Sox11","protein_coding","ENSMUSG00000063632","SRY (sex determining region Y)-box 11 [Source:MGI Symbol;Acc:MGI:98359]",620.2863273,639.8851142,488.2519194,19550.1574,31272.23771,11141.58433,10618.7338,4.385135309,0.362063752,12.1115005,9.18e-34,1.91e-31
406223,"Gm5414","protein_coding","ENSMUSG00000064232","predicted gene 5414 [Source:MGI Symbol;Acc:MGI:3646939]",699.925259,825.8846264,817.4605029,3094.276314,2777.205788,3741.072238,1992.637455,1.98341376,0.163806714,12.10825678,9.55e-34,1.96e-31
20194,"S100a10","protein_coding","ENSMUSG00000041959","S100 calcium binding protein A10 (calpactin) [Source:MGI Symbol;Acc:MGI:1339468]",105856.9654,114548.7939,112767.2861,42820.0601,44719.89461,49187.22529,78316.70424,-1.271401611,0.105059688,-12.10170745,1.03e-33,2.1e-31
18951,"Sept5","protein_coding","ENSMUSG00000072214","septin 5 [Source:MGI Symbol;Acc:MGI:1195461]",9221.290953,11181.02728,9068.806722,3111.283024,3148.462726,3501.122487,6538.665532,-1.568271392,0.129858271,-12.07679245,1.4e-33,2.81e-31
240505,"Cdc42bpg","protein_coding","ENSMUSG00000107268","CDC42 binding protein kinase gamma (DMPK-like) [Source:MGI Symbol;Acc:MGI:2652845]",19776.25359,20688.05895,20635.59479,6956.689008,8466.69712,7713.023962,14039.38624,-1.383320954,0.114589777,-12.07194034,1.49e-33,2.94e-31
12323,"Camk2b","protein_coding","ENSMUSG00000057897","calcium/calmodulin-dependent protein kinase II, beta [Source:MGI Symbol;Acc:MGI:88257]",393.7079582,587.2437428,458.2227581,30.23415024,28.03542093,23.91251816,253.5594248,-3.709359385,0.308171563,-12.03666993,2.28e-33,4.46e-31
106014,"Fam19a5","protein_coding","ENSMUSG00000054863","family with sequence similarity 19, member A5 [Source:MGI Symbol;Acc:MGI:2146182]",670.7617066,843.4317502,471.569052,50.07531134,41.62835228,50.2987451,354.6274863,-3.471493186,0.289203278,-12.00364397,3.4e-33,6.57e-31
212439,"AA986860","protein_coding","ENSMUSG00000042510","expressed sequence AA986860 [Source:MGI Symbol;Acc:MGI:2138143]",14503.25897,16477.91905,15503.94478,2647.377781,2093.311429,4133.567364,9226.563229,-2.302569151,0.19191652,-11.99776417,3.65e-33,6.97e-31
17357,"Marcksl1","protein_coding","ENSMUSG00000047945","MARCKS-like 1 [Source:MGI Symbol;Acc:MGI:97143]",7940.337995,9138.54207,9061.021384,36848.81543,38588.63301,24695.85928,21045.53486,1.890708146,0.157975819,11.96833897,5.21e-33,9.83e-31
218215,"Rnf144b","protein_coding","ENSMUSG00000038068","ring finger protein 144B [Source:MGI Symbol;Acc:MGI:2384986]",5371.702028,6017.493652,5239.532557,1245.269063,1606.514575,1736.54356,3536.175906,-1.815442878,0.152492909,-11.90509701,1.11e-32,2.08e-30
13663,"Ei24","protein_coding","ENSMUSG00000062762","etoposide induced 2.4 mRNA [Source:MGI Symbol;Acc:MGI:108090]",13436.54596,15976.07131,15218.11165,5686.854697,4916.393361,5586.458985,10136.73933,-1.442272472,0.121466356,-11.87384328,1.62e-32,2.99e-30
67855,"Asprv1","protein_coding","ENSMUSG00000033508","aspartic peptidase, retroviral-like 1 [Source:MGI Symbol;Acc:MGI:1915105]",19706.70974,19581.42034,19208.65353,3771.710243,4224.852978,6322.79963,12136.02441,-1.974986821,0.167308879,-11.80443521,3.7e-32,6.76e-30
215446,"Entpd3","protein_coding","ENSMUSG00000041608","ectonucleoside triphosphate diphosphohydrolase 3 [Source:MGI Symbol;Acc:MGI:1321386]",25.79852718,78.37715293,65.61927847,1328.412976,1338.054181,684.3927612,586.7758128,3.814081658,0.323551788,11.78816437,4.49e-32,8.11e-30
231382,"Tmprss11d","protein_coding","ENSMUSG00000061259","transmembrane protease, serine 11d [Source:MGI Symbol;Acc:MGI:2385221]",1798.045177,1785.127394,1524.814081,288.1692445,226.832042,366.1088988,998.1828061,-2.42846344,0.20611605,-11.78202005,4.83e-32,8.63e-30
381269,"Mreg","protein_coding","ENSMUSG00000039395","melanoregulin [Source:MGI Symbol;Acc:MGI:2151839]",1790.193451,1957.089207,1362.434172,309.90004,314.3365377,358.6877725,1015.440197,-2.289293934,0.194365411,-11.77829905,5.05e-32,8.92e-30
94089,"","protein_coding","ENSMUSG00000116408","tripartite motif-containing 7 [Source:MGI Symbol;Acc:MGI:2137353]",2732.40053,3082.444746,2403.445098,764.3571109,761.2041561,689.3401788,1738.865303,-1.846605464,0.156805417,-11.77641376,5.16e-32,9.03e-30
94060,"Lce3c","protein_coding","ENSMUSG00000045475","late cornified envelope 3C [Source:MGI Symbol;Acc:MGI:2135932]",704.4119594,962.752192,794.1044886,67.08202085,62.01774932,104.7203382,449.181458,-3.144928089,0.267090321,-11.77477372,5.27e-32,9.11e-30
70435,"Inf2","protein_coding","ENSMUSG00000037679","inverted formin, FH2 and WH2 domain containing [Source:MGI Symbol;Acc:MGI:1917685]",13989.53178,15232.07326,15804.23639,6192.331897,5205.243152,5646.652565,10345.01151,-1.382814207,0.118047849,-11.71401442,1.08e-31,1.85e-29
18028,"Nfib","protein_coding","ENSMUSG00000008575","nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]",2679.681801,2189.881049,2133.182646,6875.434729,9219.405694,8127.782467,5204.228064,1.751644469,0.149590471,11.70959923,1.14e-31,1.91e-29
